Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.11      7.33     0.01  1809538     0.00     0.00  void std::allocator_traits<std::allocator<Action> >::construct<Action, Action>(std::allocator<Action>&, Action*, Action&&)
  0.11      7.34     0.01  1462527     0.00     0.00  Action* std::__niter_base<Action*>(Action*)
  0.11      7.35     0.01  1145925     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.11      7.36     0.01  1145650     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.11      7.37     0.01  1145650     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.11      7.38     0.01  1145595     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int>, int>::_S_select_on_copy(std::allocator<int> const&)
  0.11      7.39     0.01  1145595     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.11      7.40     0.01  1145595     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
  0.11      7.41     0.01  1145595     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.11      7.42     0.01  1031002     0.00     0.00  bool __gnu_cxx::operator!=<Node**, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&)
  0.11      7.43     0.01  1001028     0.00     0.00  std::vector<Player, std::allocator<Player> >::end()
  0.11      7.44     0.01   975018     0.00     0.00  std::vector<Action, std::allocator<Action> >::size() const
  0.11      7.45     0.01   835342     0.00     0.00  __gnu_cxx::__normal_iterator<Bomb*, std::vector<Bomb, std::allocator<Bomb> > >::__normal_iterator(Bomb* const&)
  0.11      7.46     0.01   765318     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.11      7.47     0.01   624872     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
  0.11      7.48     0.01   564494     0.00     0.00  __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::__normal_iterator(Node** const&)
  0.11      7.49     0.01   526844     0.00     0.00  sf::Drawable::~Drawable()
  0.11      7.50     0.01   487509     0.00     0.00  __gnu_cxx::new_allocator<Action>::deallocate(Action*, unsigned long)
  0.11      7.51     0.01   487509     0.00     0.00  __gnu_cxx::new_allocator<Action>::allocate(unsigned long, void const*)
  0.11      7.52     0.01   487509     0.00     0.00  __gnu_cxx::new_allocator<Action>::new_allocator()
  0.11      7.53     0.01   487509     0.00     0.00  __gnu_cxx::new_allocator<Action>::max_size() const
  0.11      7.54     0.01   487509     0.00     0.00  std::allocator<Action>::allocator()
